,Name,FixedByID,count
467,area-websockets| task,unknown,1
468,author migration bot robot,unknown,1
469,author migration bot robot| area-blazor,unknown,2
470,author migration bot robot| area-blazor| blazor-wasm,javiercn,1
471,author migration bot robot| area-blazor| blazor-wasm,unknown,1
472,author migration bot robot| done| area-blazor| blazor-wasm,javiercn,1
473,author migration bot robot| done| area-blazor| investigate,ntaylormullen,1
474,author migration bot robot| needs author feedback| area-mvc,unknown,1
475,author migration bot robot| needs author feedback| status no recent activity| area-blazor,unknown,1
476,author migration bot robot| needs author feedback| status no recent activity| area-blazor| blazor-wasm,unknown,1
477,author migration bot robot| needs author feedback| status no recent activity| area-mvc,unknown,2
478,author migration bot robot| needs author feedback| status no recent activity| area-servers,unknown,1
479,blazor ? signalr| area-blazor,unknown,2
480,blazor ? signalr| needs author feedback| area-blazor| area-signalr,unknown,1
481,branchmaster| done| area-mvc| cost s| task,anurse,1
482,branchmaster| done| blocked| test-failure,dougbu,1
483,branchmaster| done| external| area-mvc| blocked| cost 0| investigate| task| test-failure,ryanbrandenburg,1
484,branchmaster| servers-iis| test-failure,unknown,5
485,branchmaster| test-failure,natemcmaster,1
486,breaking-change,unknown,1
487,breaking-change| discussion,unknown,2
488,breaking-change| enhancement,unknown,1
489,bug,blowdart,1
490,bug,pakrym,1
491,bug,unknown,8
492,bug,vijayrkn,1
493,components big rock| area-blazor| blazor-wasm| cost s| enhancement,danroth27,1
494,components big rock| done| [obsolete] cost l| area-blazor,ajaybhargavb,1
495,components big rock| done| area-blazor| blazor-wasm| enhancement,stevesandersonms,1
496,components big rock| done| area-blazor| cost 0| enhancement,stevesandersonms,1
497,components big rock| done| area-blazor| cost m| enhancement,pranavkm,1
498,components big rock| done| area-blazor| enhancement,mackinnonbuck,2
499,components big rock| done| area-blazor| enhancement,pranavkm,1
500,components big rock| done| area-blazor| enhancement,ryanbrandenburg,1
501,components big rock| done| area-blazor| enhancement,rynowak,1
502,components big rock| done| area-blazor| enhancement,stevesandersonms,1
503,components big rock| done| area-blazor| enhancement| feature,danroth27,1
504,components big rock| done| tooling| [obsolete] cost l| area-blazor| enhancement,ajaybhargavb| ntaylormullen,1
505,components big rock| done| tooling| area-blazor| cost m| enhancement,stevesandersonms,1
506,components big rock| external| area-blazor| cost 0| enhancement,unknown,1
507,components big rock| external| area-blazor| enhancement,unknown,1
508,components big rock| needs design| area-mvc,unknown,1
509,cost s,unknown,1
510,discussion,blowdart,1
511,discussion,damianedwards,1
512,discussion,eilon,1
513,discussion,unknown,26
514,docs| area-blazor,captainsafia,1
515,docs| area-blazor,javiercn,1
516,docs| area-blazor,pranavkm,1
517,docs| area-blazor,stevesandersonms,1
518,docs| area-blazor,unknown,2
519,docs| area-blazor| blazor-wasm,javiercn,1
520,docs| area-blazor| blazor-wasm| cost s,javiercn,1
521,docs| area-blazor| question,javiercn,1
522,docs| area-blazor| task,stevesandersonms,1
523,docs| area-hosting,unknown,1
524,docs| area-middleware| good first issue,jkotalik,1
525,docs| area-mvc,pranavkm,1
526,docs| area-mvc,unknown,1
527,docs| area-mvc| question,javiercn,1
528,docs| area-mvc| question,unknown,1
529,docs| area-platform,pilchie,1
530,docs| area-platform,unknown,1
531,docs| area-security,blowdart,1
532,docs| area-security,haok,1
533,docs| area-servers,shirhatti,1
534,docs| area-servers,unknown,1
535,docs| area-servers| cost xs,unknown,1
536,docs| area-servers| good first issue| help wanted,unknown,1
537,docs| done| area-blazor,pranavkm,1
538,docs| done| area-mvc| cost m,unknown,1
539,docs| done| area-mvc| cost s,ryanbrandenburg,1
540,docs| done| area-platform,natemcmaster,1
541,docs| done| area-servers| good first issue| help wanted,anurse,1
542,docs| servers-iis,unknown,1
543,done,ajcvickers,1
544,done,anurse,1
545,done,danroth27,1
546,done,pakrym,1
547,done,praburaj,1
548,done,suhasj,1
549,done,tratcher,1
550,done,unknown,5
551,done| [obsolete] cost l| area-mvc| enhancement,ntaylormullen,1
552,done| [obsolete] cost l| area-mvc| task,ajaybhargavb| ntaylormullen| ryanbrandenburg,1
553,done| [obsolete] cost l| area-servers| enhancement| feature-pipelines| servers-kestrel,halter73| jkotalik,1
554,done| [obsolete] cost l| area-servers| servers-kestrel,jkotalik,1
